conversation_id,in_reply_to_user_id,public_metrics,created_at,author_id,id,text
1466965134283259909,1254827190002343938,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:12:34.000Z,1254827190002343938,1466968646299926535,"pelo menos o dado sendo playboy chato foi engraçado, o fiuk só deu vergonha alheia"
1466968525692715011,43132532,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:12:06.000Z,2584797961,1466968525692715011,"@Fiuk você é extremamente insuportável pqp tenta não se levar tanto a sério, que chato eu hein https://t.co/IjMMpTNjGf"
1466968330590429184,43132532,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-04T03:11:19.000Z,3439937890,1466968330590429184,"@Fiuk entenda, você é chato a beça cara. Porra todo mundo queria tá ali no seu lugar com a Tata que é maravilhosa e só tava ali zoando, assim como ela faz com todos. A gente conseguiu ver sua chatisse no bbb também, até hoje ninguém sabe como tu ficou em 2 lugar."
1466750735652114439,58286515,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 33, 'quote_count': 0}",2021-12-04T03:10:46.000Z,1221529089321734144,1466968192056795144,@juju1docinho @siteptbr Não gostar de um pessoa e direito seu. Mas falar que a Tata não e humorista e uma puta falta de respeito. Ela consegue fazer um país inteiro da risada das coisas mais banais. Aí vem você julgadora de humor defender esse peixe morto do fiuk 🪦 parabéns conseguiu militar a tata 💀
1466968154249347075,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-04T03:10:37.000Z,1051636383016730625,1466968154249347075,coloque Fiuk e um poste no mesmo palco pra se apresentar e você irá descobrir o talento incrível que uma estrutura de cimento pode proporcionar
1466967445550288896,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",2021-12-04T03:07:48.000Z,904813699,1466967445550288896,como assim vcs tão surpresos do Fiuk ser insuportável a gente ficou três meses assistindo ele ser diariamente insuportável
1466967435639242757,,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",2021-12-04T03:07:46.000Z,737806011122257921,1466967435639242757,pelo jeito q a tata é doente eu botaria uma fé q isso aq foi combinado pra real ser constrangedor kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk fiuk n é imbecil a esse ponto n https://t.co/Mi44agy4QV
1466966909052764162,3041685028,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:06:07.000Z,3041685028,1466967022571556867,eu to igual o fiuk das ideia
1466750735652114439,918197046871502849,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-04T03:05:54.000Z,3179433671,1466966965780721665,"@siteptbr Imagine como deve ser para os apresentadores da Globo tendo que lidar com Fiuk sendo colocado em todos os quadros novos que estão fazendo. Eles já devem começar pensando assim ""é, esse quadro vai fracassar"" https://t.co/oDXQSk4pKD"
1466966636481634307,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",2021-12-04T03:04:35.000Z,1430967105470574592,1466966636481634307,"O Fiuk no lady night que vergonha meu pai, se fosse pra lacrar ficava em casa"
1466966500724596737,,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",2021-12-04T03:04:03.000Z,581995177,1466966500724596737,fiuk se você fosse um artista qual você seria? https://t.co/4Sin3LULjN
1466966415697756162,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2021-12-04T03:03:43.000Z,3041685028,1466966415697756162,fiuk no programa da tata pqp MLK CHATOOOOOOOOO
1466966364749537283,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:03:30.000Z,811799254004101120,1466966364749537283,"Tata sendo gente boa como sempre, mas com o fiuk não dá caras... NÃO DÁ https://t.co/70pNQYwmpz"
1466966309686677504,,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:03:17.000Z,775406934644187136,1466966309686677504,mano quem namoraria o fiuk? ELE COME COMIDA DO RALO DA PIA
1466966230368231424,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",2021-12-04T03:02:58.000Z,903384532035960832,1466966230368231424,"o fiuk conseguiu deixar a tata werneck sem graça, ele deve ser muito insuportável sério"
